DHSID_EA,water_index
IA-2015-7-00010009,4.9331229466721584
IA-2015-7-00010011,4.82581220442542
IA-2015-7-00010017,4.1325950941284
IA-2015-7-00010044,4.565360864331255
IA-2015-7-00010060,4.947024232658153
IA-2015-7-00010072,4.779587136340091
IA-2015-7-00010074,4.904962451125029
IA-2015-7-00010099,4.981223436830674
IA-2015-7-00010109,3.807384448055658
IA-2015-7-00010168,4.329682549520614
IA-2015-7-00010172,4.746674294850054
IA-2015-7-00020001,4.6545929857589865
IA-2015-7-00020024,4.601842355953083
IA-2015-7-00020074,4.876109641026911
IA-2015-7-00020085,3.8438631894787263
IA-2015-7-00020095,4.706477921942146
IA-2015-7-00020113,4.458670575780747
IA-2015-7-00020115,5.117575380390482
IA-2015-7-00020160,4.757453085785558
IA-2015-7-00020173,4.421294488887531
IA-2015-7-00020194,4.476377982426884
IA-2015-7-00020206,4.99655958204723
IA-2015-7-00020229,4.934716306978052
IA-2015-7-00020238,4.701610585021459
IA-2015-7-00020270,4.127000807828657
IA-2015-7-00020347,4.1556225637791
IA-2015-7-00020348,3.8077719490133193
IA-2015-7-00020355,4.56217059719429
IA-2015-7-00020364,3.80289544218445
IA-2015-7-00020416,4.894354877216118
IA-2015-7-00020424,3.5860109197994463
IA-2015-7-00020447,4.867118954763086
IA-2015-7-00020450,4.819524667865201
IA-2015-7-00020455,5.110991072493598
IA-2015-7-00020499,5.110046185737139
IA-2015-7-00020504,4.6578184244747245
IA-2015-7-00020513,4.646894142529204
IA-2015-7-00020557,4.5726075593320665
IA-2015-7-00020578,4.743485328943551
IA-2015-7-00020637,5.052972548803451
IA-2015-7-00020685,3.8780296623603374
IA-2015-7-00020702,4.940222127091914
IA-2015-7-00020733,4.43497205326885
IA-2015-7-00020759,4.782882947816992
IA-2015-7-00020761,3.890370614675014
IA-2015-7-00020766,4.970215219479652
IA-2015-7-00020780,4.665106913437882
IA-2015-7-00020814,4.558734223677375
IA-2015-7-00020818,3.7107552910915955
IA-2015-7-00020831,4.663028398947239
IA-2015-7-00020872,4.2530020389725935
IA-2015-7-00020880,4.668072957548182
IA-2015-7-00020882,4.442657620964601
IA-2015-7-00030007,3.9840103450430973
IA-2015-7-00030014,4.568898482797963
IA-2015-7-00030025,3.5186181982318976
IA-2015-7-00030033,4.194843550653227
IA-2015-7-00030040,4.036679014554762
IA-2015-7-00030052,4.195089324991026
IA-2015-7-00030068,3.8224620816959085
IA-2015-7-00030074,4.002192989141029
IA-2015-7-00030091,4.118787230550394
IA-2015-7-00030097,3.0592580435720196
IA-2015-7-00030108,3.9258838066346393
IA-2015-7-00030118,4.084589752721072
IA-2015-7-00030124,4.185085130010343
IA-2015-7-00030129,4.287979989523893
IA-2015-7-00030137,4.228858634373348
IA-2015-7-00030140,4.209374329659101
IA-2015-7-00030145,4.225836547561631
IA-2015-7-00030182,4.552210851781707
IA-2015-7-00030195,4.432669670692916
IA-2015-7-00030202,4.246714258853249
IA-2015-7-00030207,3.213821038220896
IA-2015-7-00030217,4.623266962724551
IA-2015-7-00030275,4.586762786736527
IA-2015-7-00030278,4.470068085200415
IA-2015-7-00030279,4.178586243580815
IA-2015-7-00030291,4.043885164845264
IA-2015-7-00030294,4.585286317158402
IA-2015-7-00030303,3.3659723881242303
IA-2015-7-00030310,4.138216662116614
IA-2015-7-00030326,4.129211237947897
IA-2015-7-00030331,4.377420220166087
IA-2015-7-00030332,4.317570299383046
IA-2015-7-00030365,3.142192546808021
IA-2015-7-00030367,4.172808500357336
IA-2015-7-00030371,4.244556184497634
IA-2015-7-00030383,3.713249108910319
IA-2015-7-00030393,3.5284520647386604
IA-2015-7-00030396,4.018522323153383
IA-2015-7-00030421,3.5635036739994823
IA-2015-7-00030428,3.7537000471063373
IA-2015-7-00030434,4.441364410783952
