,DHSID_EA,water_index
0,IA-2015-7-00010009,4.9331229466721584
1,IA-2015-7-00010011,4.82581220442542
2,IA-2015-7-00010017,4.1325950941284
3,IA-2015-7-00010044,4.565360864331255
4,IA-2015-7-00010060,4.947024232658153
5,IA-2015-7-00010072,4.779587136340091
6,IA-2015-7-00010074,4.904962451125029
7,IA-2015-7-00010099,4.981223436830674
8,IA-2015-7-00010109,3.807384448055658
9,IA-2015-7-00010168,4.329682549520614
10,IA-2015-7-00010172,4.746674294850054
11,IA-2015-7-00020001,4.6545929857589865
12,IA-2015-7-00020024,4.601842355953083
13,IA-2015-7-00020074,4.876109641026911
14,IA-2015-7-00020085,3.8438631894787263
15,IA-2015-7-00020095,4.706477921942146
16,IA-2015-7-00020113,4.458670575780747
17,IA-2015-7-00020115,5.117575380390482
18,IA-2015-7-00020160,4.757453085785558
19,IA-2015-7-00020173,4.421294488887531
20,IA-2015-7-00020194,4.476377982426884
21,IA-2015-7-00020206,4.99655958204723
22,IA-2015-7-00020229,4.934716306978052
23,IA-2015-7-00020238,4.701610585021459
24,IA-2015-7-00020270,4.127000807828657
25,IA-2015-7-00020347,4.1556225637791
26,IA-2015-7-00020348,3.8077719490133193
27,IA-2015-7-00020355,4.56217059719429
28,IA-2015-7-00020364,3.80289544218445
29,IA-2015-7-00020416,4.894354877216118
30,IA-2015-7-00020424,3.5860109197994463
31,IA-2015-7-00020447,4.867118954763086
32,IA-2015-7-00020450,4.819524667865201
33,IA-2015-7-00020455,5.110991072493598
34,IA-2015-7-00020499,5.110046185737139
35,IA-2015-7-00020504,4.6578184244747245
36,IA-2015-7-00020513,4.646894142529204
37,IA-2015-7-00020557,4.5726075593320665
38,IA-2015-7-00020578,4.743485328943551
39,IA-2015-7-00020637,5.052972548803451
40,IA-2015-7-00020685,3.8780296623603374
41,IA-2015-7-00020702,4.940222127091914
42,IA-2015-7-00020733,4.43497205326885
43,IA-2015-7-00020759,4.782882947816992
44,IA-2015-7-00020761,3.890370614675014
45,IA-2015-7-00020766,4.970215219479652
46,IA-2015-7-00020780,4.665106913437882
47,IA-2015-7-00020814,4.558734223677375
48,IA-2015-7-00020818,3.7107552910915955
49,IA-2015-7-00020831,4.663028398947239
50,IA-2015-7-00020872,4.2530020389725935
51,IA-2015-7-00020880,4.668072957548182
52,IA-2015-7-00020882,4.442657620964601
53,IA-2015-7-00030007,3.9840103450430973
54,IA-2015-7-00030014,4.568898482797963
55,IA-2015-7-00030025,3.5186181982318976
56,IA-2015-7-00030033,4.194843550653227
57,IA-2015-7-00030040,4.036679014554762
58,IA-2015-7-00030052,4.195089324991026
59,IA-2015-7-00030068,3.8224620816959085
60,IA-2015-7-00030074,4.002192989141029
61,IA-2015-7-00030091,4.118787230550394
62,IA-2015-7-00030097,3.0592580435720196
63,IA-2015-7-00030108,3.9258838066346393
64,IA-2015-7-00030118,4.084589752721072
65,IA-2015-7-00030124,4.185085130010343
66,IA-2015-7-00030129,4.287979989523893
67,IA-2015-7-00030137,4.228858634373348
68,IA-2015-7-00030140,4.209374329659101
